[Wed Apr 15 15:06:32.766685 2015] [:error] [pid 1921] [client 127.0.0.1:48669] PHP Parse error:  syntax error, unexpected '}' in /var/www/tadikapertiwi.net/application/controllers/IndexController.php on line 381, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:24:35.632738 2015] [:error] [pid 1923] [client 127.0.0.1:48933] PHP Warning:  preg_replace(): Parameter mismatch, pattern is a string while replacement is an array in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 64, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:24:35.633356 2015] [:error] [pid 1923] [client 127.0.0.1:48933] PHP Warning:  preg_replace(): Parameter mismatch, pattern is a string while replacement is an array in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 64, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:24:35.633906 2015] [:error] [pid 1923] [client 127.0.0.1:48933] PHP Warning:  preg_replace(): Parameter mismatch, pattern is a string while replacement is an array in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 64, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:24:35.634395 2015] [:error] [pid 1923] [client 127.0.0.1:48933] PHP Warning:  preg_replace(): Parameter mismatch, pattern is a string while replacement is an array in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 64, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:26:06.518384 2015] [:error] [pid 11786] [client 127.0.0.1:48970] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:26:06.519083 2015] [:error] [pid 11786] [client 127.0.0.1:48970] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:26:06.519608 2015] [:error] [pid 11786] [client 127.0.0.1:48970] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:26:06.520137 2015] [:error] [pid 11786] [client 127.0.0.1:48970] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:28:09.609050 2015] [:error] [pid 11775] [client 127.0.0.1:48997] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65
[Wed Apr 15 15:28:09.609623 2015] [:error] [pid 11775] [client 127.0.0.1:48997] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65
